Feature,test_statistic,p_value,significant
job,961.2424403289555,4.189763287563623e-199,True
marital,122.65515182252989,2.068014648442211e-26,True
education,193.10590454149565,3.3051890144025054e-38,True
default,406.5775146420093,5.161957951391637e-89,True
housing,5.684495858974168,0.05829447669453452,False
loan,1.094027551150338,0.5786752870441754,False
contact,862.3183642075705,1.525985652312996e-189,True
month,3101.149351411678,0.0,True
day_of_week,26.14493907587197,2.958482005278532e-05,True
poutcome,4230.5237978319765,0.0,True
